dataid,time,load,solar,car1
1.18E+11,1/7/2019 0:00,0.077571063,-0.002998389,0
1.18E+11,1/7/2019 0:15,0.07040314,-0.000574056,0
1.18E+11,1/7/2019 0:30,0.079874996,0,0
1.18E+11,1/7/2019 0:45,0.066260562,-0.001312833,0
1.18E+11,1/7/2019 1:00,0.07016806,-0.002968333,0
1.18E+11,1/7/2019 1:15,0.139357777,-0.002273278,0
1.18E+11,1/7/2019 1:30,0.15974573,-0.002623556,0
1.18E+11,1/7/2019 1:45,0.261918867,-0.002138056,0
1.18E+11,1/7/2019 2:00,0.160196963,-0.002418722,0
1.18E+11,1/7/2019 2:15,0.151801933,-0.002778778,0
1.18E+11,1/7/2019 2:30,0.166382546,-0.003030889,0
1.18E+11,1/7/2019 2:45,0.155415119,-0.002179889,0
1.18E+11,1/7/2019 3:00,0.150199384,-0.0013435,0
1.18E+11,1/7/2019 3:15,0.148498276,-0.002356944,0
1.18E+11,1/7/2019 3:30,0.148072334,-0.002897111,0
1.18E+11,1/7/2019 3:45,0.164780696,-0.002263222,0
1.18E+11,1/7/2019 4:00,0.151344627,-0.003214056,0
1.18E+11,1/7/2019 4:15,0.106024812,-0.001798667,0
1.18E+11,1/7/2019 4:30,0.081427891,-0.003226667,0
1.18E+11,1/7/2019 4:45,0.177339111,-0.002313889,0
1.18E+11,1/7/2019 5:00,0.084593971,-0.001942111,0
1.18E+11,1/7/2019 5:15,0.067780403,-0.002161056,0
1.18E+11,1/7/2019 5:30,0.064935686,-0.001683722,0
1.18E+11,1/7/2019 5:45,0.093131647,-0.002065667,0
1.18E+11,1/7/2019 6:00,0.182321111,-0.003188944,0
1.18E+11,1/7/2019 6:15,0.158030648,-0.003700611,0
1.18E+11,1/7/2019 6:30,0.154949113,-0.001930611,0
1.18E+11,1/7/2019 6:45,0.169877538,-0.000239611,0
1.18E+11,1/7/2019 7:00,0.151930924,0,0
1.18E+11,1/7/2019 7:15,0.149142019,0,0
1.18E+11,1/7/2019 7:30,0.148314987,0,0
1.18E+11,1/7/2019 7:45,0.270959559,0.006693556,0
1.18E+11,1/7/2019 8:00,0.148206059,0.047834277,0
1.18E+11,1/7/2019 8:15,0.145227126,0.691362057,0
1.18E+11,1/7/2019 8:30,0.11512296,1.331198333,0
1.18E+11,1/7/2019 8:45,0.065816438,1.632410111,0
1.18E+11,1/7/2019 9:00,0.065840179,1.826419722,0
1.18E+11,1/7/2019 9:15,0.065842876,2.000709389,0
1.18E+11,1/7/2019 9:30,0.064592578,2.151462278,0
1.18E+11,1/7/2019 9:45,0.064880601,2.276052833,0
1.18E+11,1/7/2019 10:00,0.075643447,2.3832045,0
1.18E+11,1/7/2019 10:15,0.163874462,2.474724056,0
1.18E+11,1/7/2019 10:30,0.263026582,2.552185167,0
1.18E+11,1/7/2019 10:45,0.152756858,2.615662222,0
1.18E+11,1/7/2019 11:00,0.149363088,2.671657,0
1.18E+11,1/7/2019 11:15,0.149469219,2.718505611,0
1.18E+11,1/7/2019 11:30,0.148188286,2.734900111,0
1.18E+11,1/7/2019 11:45,0.147857107,2.732423056,0
1.18E+11,1/7/2019 12:00,0.14846168,2.731865966,0
1.18E+11,1/7/2019 12:15,0.146660141,2.70914067,0
1.18E+11,1/7/2019 12:30,0.163772204,2.675415278,0
1.18E+11,1/7/2019 12:45,0.148029246,2.651753778,0
1.18E+11,1/7/2019 13:00,0.145784442,2.586592111,0
1.18E+11,1/7/2019 13:15,0.208518533,2.499271333,0
1.18E+11,1/7/2019 13:30,0.06508832,2.410347556,0
1.18E+11,1/7/2019 13:45,0.064077871,2.31461,0
1.18E+11,1/7/2019 14:00,0.067409654,2.201878278,0
1.18E+11,1/7/2019 14:15,0.065561754,2.079478611,0
1.18E+11,1/7/2019 14:30,0.066784567,1.936054944,0
1.18E+11,1/7/2019 14:45,0.065224061,1.773501833,0
1.18E+11,1/7/2019 15:00,0.162719652,1.614039111,0
1.18E+11,1/7/2019 15:15,0.156394447,1.416352222,0
1.18E+11,1/7/2019 15:30,0.159168887,1.151308944,0
1.18E+11,1/7/2019 15:45,0.153304806,0.881319278,0
1.18E+11,1/7/2019 16:00,0.258142146,0.638918833,0
1.18E+11,1/7/2019 16:15,0.149215666,0.360192,0
1.18E+11,1/7/2019 16:30,0.161284041,0.061608,0
1.18E+11,1/7/2019 16:45,0.11822988,0,0
1.18E+11,1/7/2019 17:00,0.171318213,0,0
1.18E+11,1/7/2019 17:15,0.166987702,-0.000172556,0
1.18E+11,1/7/2019 17:30,0.162127508,-0.004906222,0
1.18E+11,1/7/2019 17:45,0.16121612,0,0
1.18E+11,1/7/2019 18:00,0.133632649,0,0
1.18E+11,1/7/2019 18:15,0.134130115,-0.002405278,0
1.18E+11,2/7/2019 3:00,0.300843182,-0.004957778,0
1.18E+11,2/7/2019 3:15,0.371586616,-0.002588778,0
1.18E+11,2/7/2019 3:30,0.31587595,-0.0039965,0
1.18E+11,2/7/2019 3:45,0.28636804,-0.004132278,0
1.18E+11,2/7/2019 4:00,0.314777078,-0.004179333,0
1.18E+11,2/7/2019 4:15,0.217126908,-0.003579389,0
1.18E+11,2/7/2019 4:30,0.289085102,-0.002876944,0
1.18E+11,2/7/2019 4:45,0.256743693,-0.004451,0
1.18E+11,2/7/2019 5:00,0.265384591,-0.005286889,0
1.18E+11,2/7/2019 5:15,0.355280937,-0.0047315,0
1.18E+11,2/7/2019 5:30,0.44776927,-0.005839111,0
1.18E+11,2/7/2019 5:45,0.319540926,-0.005184333,0
1.18E+11,2/7/2019 6:00,0.344351026,-0.002384167,0
1.18E+11,2/7/2019 6:15,0.32101749,-0.004846333,0
1.18E+11,2/7/2019 6:30,0.326586194,-0.001136722,0
1.18E+11,2/7/2019 6:45,0.333024433,-0.000141444,0
1.18E+11,2/7/2019 7:00,0.317582498,0,0
1.18E+11,2/7/2019 7:15,0.332578576,0,0
1.18E+11,2/7/2019 7:30,0.326274854,0.012793667,0
1.18E+11,2/7/2019 7:45,0.27372854,0.091510398,0
1.18E+11,2/7/2019 8:00,0.333641048,0.658183222,0
1.18E+11,2/7/2019 8:15,0.768329989,1.147882833,0
1.18E+11,2/7/2019 8:30,0.87610737,1.510212111,0
1.18E+11,2/7/2019 8:45,0.39298229,1.771211667,0
1.18E+11,2/7/2019 9:00,0.435178412,1.939988222,0
1.18E+11,2/7/2019 9:15,0.352499379,2.114107944,0
1.18E+11,2/7/2019 9:30,0.381854248,2.205985667,0
1.18E+11,2/7/2019 9:45,0.251196579,2.365648889,0
1.18E+11,2/7/2019 10:00,0.136571608,2.509538889,0
1.18E+11,2/7/2019 10:15,0.135553712,2.626588667,0
1.18E+11,2/7/2019 10:30,0.135049018,2.691010944,0
1.18E+11,2/7/2019 10:45,0.133749014,2.753826222,0
1.18E+11,2/7/2019 11:00,0.133277386,2.802074611,0
1.18E+11,2/7/2019 11:15,0.133944667,2.842591778,0
1.18E+11,2/7/2019 11:30,0.135063282,2.876114722,0
1.18E+11,2/7/2019 11:45,0.133332194,2.892811111,0
1.18E+11,2/7/2019 12:00,0.132495889,2.896471278,0
1.18E+11,2/7/2019 12:15,0.06180263,2.895066389,0
1.18E+11,2/7/2019 12:30,0.054804062,2.845890778,0
1.18E+11,2/7/2019 12:45,0.054590632,2.817315611,0
1.18E+11,2/7/2019 13:00,0.054956259,2.768580111,0
1.18E+11,2/7/2019 13:15,0.062853706,2.709704944,0
1.18E+11,2/7/2019 13:30,0.066711164,2.650776111,0
1.18E+11,2/7/2019 13:45,0.123525626,2.554493944,0
1.18E+11,2/7/2019 14:00,0.146710463,2.451898278,0
1.18E+11,2/7/2019 14:15,0.142945987,2.365794278,0
1.18E+11,2/7/2019 14:30,0.140389827,2.260122167,0
1.18E+11,2/7/2019 14:45,0.138505478,2.133043167,0
1.18E+11,2/7/2019 15:00,0.137734653,1.995520611,0
1.18E+11,2/7/2019 15:15,0.135444671,1.812780778,0
1.18E+11,2/7/2019 15:30,0.13545908,1.616472833,0
1.18E+11,2/7/2019 15:45,0.134456547,1.357673944,0
1.18E+11,2/7/2019 16:00,0.134543019,1.090346611,0
1.18E+11,2/7/2019 16:15,0.133956811,0.831425833,0
1.18E+11,2/7/2019 16:30,1.195571082,0.522269222,0
1.18E+11,2/7/2019 16:45,1.363598063,0.189540556,0
1.18E+11,2/7/2019 17:00,1.334379463,0.019843111,0
1.18E+11,2/7/2019 17:15,1.267558138,0,0
1.18E+11,2/7/2019 17:30,0.923675961,0,0
1.18E+11,2/7/2019 17:45,1.14607499,-0.001046389,0
1.18E+11,2/7/2019 18:00,1.295516999,-0.002614611,0
1.18E+11,2/7/2019 18:15,1.3196072,-0.002861611,0
1.18E+11,2/7/2019 18:30,1.074795794,-0.002532389,0
1.18E+11,2/7/2019 18:45,0.59948981,-0.002881556,0
1.18E+11,2/7/2019 19:00,0.537261788,-0.002317778,0
1.18E+11,2/7/2019 19:15,0.539460754,-0.002685944,0
1.18E+11,2/7/2019 19:30,0.53445407,-0.003114833,0
1.18E+11,2/7/2019 19:45,0.755434648,-0.002483889,0
1.18E+11,2/7/2019 20:00,1.007432094,-0.002419556,0
1.18E+11,2/7/2019 20:15,1.15521921,-0.003858111,0
1.18E+11,2/7/2019 20:30,1.296289426,-0.002113667,0
1.18E+11,2/7/2019 20:45,1.547677004,-0.002706556,0
1.18E+11,2/7/2019 21:00,1.653063741,-0.003094111,0
1.18E+11,2/7/2019 21:15,1.333212582,-0.003019833,0
1.18E+11,3/7/2019 4:00,0.524892638,-0.001666778,0
1.18E+11,3/7/2019 4:15,0.507176644,-0.000894722,0
1.18E+11,3/7/2019 4:30,0.494701646,-0.000167611,0
1.18E+11,3/7/2019 4:45,0.361948329,-0.000466444,0
1.18E+11,3/7/2019 5:00,0.447911903,-0.003523,0
1.18E+11,3/7/2019 5:15,0.267529944,-0.003547889,0
1.18E+11,3/7/2019 5:30,0.277863223,-0.002609,0
1.18E+11,3/7/2019 5:45,0.367671111,-0.002948667,0
1.18E+11,3/7/2019 6:00,0.288266003,-0.002119056,0
1.18E+11,3/7/2019 6:15,0.321039484,-0.000221611,0
1.18E+11,3/7/2019 6:30,0.308226276,-0.000389333,0
1.18E+11,3/7/2019 6:45,0.304194557,0,0
1.18E+11,3/7/2019 7:00,0.522463582,0,0
1.18E+11,3/7/2019 7:15,0.510768146,0,0
1.18E+11,3/7/2019 7:30,0.505267527,0.001957722,0
1.18E+11,3/7/2019 7:45,0.443448427,0.073123667,0
1.18E+11,3/7/2019 8:00,0.151707374,0.125309611,0
1.18E+11,3/7/2019 8:15,0.544597366,0.311980333,0
1.18E+11,3/7/2019 8:30,0.601949804,0.274200111,0
1.18E+11,3/7/2019 8:45,0.399967109,0.407774333,0
1.18E+11,3/7/2019 9:00,0.377961086,0.436464722,0
1.18E+11,3/7/2019 9:15,0.307421263,0.404949944,0
1.18E+11,3/7/2019 9:30,0.068403317,0.269532667,0
1.18E+11,3/7/2019 9:45,0.080412524,0.2339675,0
1.18E+11,3/7/2019 10:00,0.070733069,0.260053222,0
1.18E+11,3/7/2019 10:15,0.066329264,0.313804111,0
1.18E+11,3/7/2019 10:30,0.066576848,0.398319389,0
1.18E+11,3/7/2019 10:45,0.104157554,0.492714722,0
1.18E+11,3/7/2019 11:00,0.162648843,0.646229667,0
1.18E+11,3/7/2019 11:15,0.156642023,0.597309889,0
1.18E+11,3/7/2019 11:30,0.155089997,0.448197056,0
1.18E+11,3/7/2019 11:45,0.151103032,0.782732722,0
1.18E+11,3/7/2019 12:00,0.149783186,0.778727611,0
1.18E+11,3/7/2019 12:15,0.149012137,1.480641167,0
1.18E+11,3/7/2019 12:30,0.148420651,1.316829,0
1.18E+11,3/7/2019 12:45,0.147641639,0.322565944,0
1.18E+11,3/7/2019 13:00,0.147862389,1.413217778,0
1.18E+11,3/7/2019 13:15,0.148652728,1.876985444,0
1.18E+11,3/7/2019 13:30,0.148714791,1.210798,0
1.18E+11,3/7/2019 13:45,0.153660182,0.796507667,0
1.18E+11,3/7/2019 14:00,0.156338493,0.246818278,0
1.18E+11,3/7/2019 14:15,0.146457747,0.409543444,0
1.18E+11,3/7/2019 14:30,0.145644649,0.819950778,0
1.18E+11,3/7/2019 14:45,0.144744314,1.562887889,0
1.18E+11,3/7/2019 15:00,0.145266232,1.896675167,0
1.18E+11,3/7/2019 15:15,0.145104964,1.2648875,0
1.18E+11,3/7/2019 15:30,0.145299537,1.793657556,0
1.18E+11,3/7/2019 15:45,0.146211076,1.096363222,0
1.18E+11,3/7/2019 16:00,0.145252831,1.180990778,0
1.18E+11,3/7/2019 16:15,0.145359852,0.893600667,0
1.18E+11,3/7/2019 16:30,0.145800014,0.761098778,0
1.18E+11,3/7/2019 16:45,0.09622019,0.314722778,0
1.18E+11,3/7/2019 17:00,0.0705556,0,0
1.18E+11,3/7/2019 17:15,0.069313741,6.64E-05,0
1.18E+11,3/7/2019 17:30,0.070769063,0.001115611,0
1.18E+11,3/7/2019 17:45,0.081897741,0,0
1.18E+11,3/7/2019 18:00,0.069903148,-0.000120222,0
1.18E+11,3/7/2019 18:15,0.199929338,-0.001878389,0
1.18E+11,3/7/2019 18:30,0.167172599,-0.002019944,0
1.18E+11,3/7/2019 18:45,0.157980799,-0.002820167,0
1.18E+11,3/7/2019 19:00,0.153771846,-0.002426778,0
1.18E+11,3/7/2019 19:15,0.151948332,-0.002979667,0
1.18E+11,3/7/2019 19:30,0.152462633,-0.002563444,0
1.18E+11,3/7/2019 19:45,0.150617422,-0.0030305,0
1.18E+11,3/7/2019 20:00,0.148616378,-0.002354556,0
1.18E+11,3/7/2019 20:15,0.150847877,-0.002517167,0
1.18E+11,3/7/2019 20:30,0.149349854,-0.000944444,0
1.18E+11,3/7/2019 20:45,0.147926054,-0.000360722,0
1.18E+11,3/7/2019 21:00,0.150139284,-0.002161389,0
1.18E+11,3/7/2019 21:15,0.148948958,-0.001908389,0
1.18E+11,3/7/2019 21:30,0.150511388,-0.003192,0
1.18E+11,3/7/2019 21:45,0.146942619,-0.002333056,0
1.18E+11,3/7/2019 22:00,0.147678582,-0.002377222,0
